Mass (u)	P1_SQ0	P2_SQ0	P3_SQ0	P1_SQ1	P1_SQ2	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ1	P2_SQ2	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ1	P3_SQ2	P3_SQ3	P3_SQ4	P3_SQ5
76.98108	3.82E-03	3.95E-03	4.02E-03	3.51E-02	4.60E-03	4.23E-03	4.15E-03	4.11E-03	3.34E-02	4.75E-03	4.71E-03	4.29E-03	3.86E-03	3.48E-02	4.60E-03	4.67E-03	4.44E-03	4.16E-03
77.04308	6.81E-03	7.50E-03	6.93E-03	4.66E-05	2.81E-04	3.11E-04	3.81E-04	4.33E-04	3.92E-05	3.96E-04	3.03E-04	3.77E-04	3.87E-04	4.46E-05	3.65E-04	3.30E-04	3.90E-04	4.29E-04
77.96984	3.84E-05	4.08E-05	4.49E-05	2.30E-03	8.89E-05	5.50E-05	3.93E-05	3.47E-05	2.21E-03	8.29E-05	4.76E-05	4.13E-05	4.57E-05	2.24E-03	7.40E-05	5.83E-05	4.93E-05	3.56E-05
78.01114	2.78E-04	2.88E-04	2.85E-04	5.79E-05	1.03E-04	1.60E-04	2.34E-04	2.45E-04	6.86E-05	1.22E-04	1.48E-04	2.24E-04	2.60E-04	6.35E-05	1.20E-04	1.48E-04	2.22E-04	2.77E-04
78.04641	4.60E-04	5.10E-04	4.77E-04	7.93E-06	2.92E-05	4.29E-05	5.00E-05	6.55E-05	6.31E-06	5.07E-05	3.37E-05	5.79E-05	5.27E-05	2.94E-06	4.93E-05	4.45E-05	5.92E-05	5.96E-05
78.99799	2.53E-04	2.79E-04	2.82E-04	2.29E-04	2.55E-04	2.74E-04	3.38E-04	3.27E-04	2.69E-04	3.13E-04	3.27E-04	3.49E-04	3.24E-04	2.27E-04	2.93E-04	3.45E-04	3.61E-04	3.46E-04
79.02052	5.22E-04	5.45E-04	5.32E-04	3.34E-05	2.28E-04	3.93E-04	6.19E-04	7.19E-04	2.85E-05	2.87E-04	3.25E-04	6.17E-04	6.86E-04	3.55E-05	2.75E-04	3.63E-04	6.25E-04	7.42E-04
79.98904	9.00E-05	9.00E-05	9.09E-05	5.67E-05	2.53E-04	8.22E-05	1.04E-04	1.07E-04	4.46E-05	9.92E-05	8.29E-05	1.13E-04	1.26E-04	3.74E-05	1.05E-04	9.38E-05	1.30E-04	1.20E-04
80.99596	8.65E-05	8.32E-05	8.84E-05	7.03E-05	1.67E-04	1.04E-04	1.30E-04	1.25E-04	5.72E-05	1.13E-04	1.08E-04	1.32E-04	1.43E-04	5.64E-05	1.14E-04	1.17E-04	1.32E-04	1.37E-04
81.03805	1.57E-04	1.71E-04	1.74E-04	2.87E-06	1.01E-04	1.71E-04	2.94E-04	3.61E-04	5.48E-06	1.16E-04	1.67E-04	3.06E-04	3.91E-04	2.93E-06	1.25E-04	1.69E-04	2.94E-04	3.93E-04
82.00848	7.04E-04	7.78E-04	7.55E-04	1.29E-05	1.05E-04	1.62E-04	2.38E-04	2.63E-04	1.88E-05	1.38E-04	1.54E-04	2.41E-04	2.87E-04	1.17E-05	1.31E-04	1.63E-04	2.56E-04	2.86E-04
82.97106	9.89E-04	8.52E-04	9.09E-04	5.38E-05	1.11E-03	1.14E-03	1.23E-03	1.27E-03	5.24E-05	9.75E-04	1.01E-03	1.21E-03	1.07E-03	5.42E-05	1.02E-03	1.06E-03	1.21E-03	1.28E-03
83.01615	5.43E-04	6.28E-04	5.73E-04	7.17E-06	1.54E-04	2.41E-04	3.56E-04	4.31E-04	8.61E-06	1.93E-04	2.38E-04	3.72E-04	4.41E-04	9.52E-06	1.96E-04	2.39E-04	3.70E-04	4.62E-04
83.97534	1.41E-04	1.33E-04	1.48E-04	1.97E-04	1.06E-04	1.14E-04	1.28E-04	1.41E-04	2.01E-04	1.00E-04	1.64E-04	1.31E-04	1.44E-04	1.95E-04	1.01E-04	1.13E-04	1.39E-04	1.53E-04
83.99918	6.16E-04	5.44E-04	5.67E-04	1.90E-03	3.49E-04	4.95E-04	7.89E-04	8.97E-04	1.93E-03	3.09E-04	4.15E-04	7.46E-04	7.72E-04	1.90E-03	3.02E-04	4.74E-04	7.65E-04	9.51E-04
84.23679	1.71E-05	1.52E-05	1.63E-05	2.08E-05	4.35E-06	1.14E-05	1.80E-05	1.72E-05	2.43E-05	6.34E-06	5.20E-06	1.56E-05	1.51E-05	1.90E-05	3.52E-06	8.68E-06	1.26E-05	1.88E-05
84.98631	1.43E-03	1.42E-03	1.51E-03	5.38E-04	5.79E-04	7.25E-04	9.12E-04	1.00E-03	5.30E-04	5.71E-04	8.51E-04	9.36E-04	8.93E-04	5.47E-04	6.08E-04	6.82E-04	9.02E-04	1.04E-03
85.00702	9.95E-04	9.53E-04	9.96E-04	1.06E-03	4.34E-04	6.78E-04	1.07E-03	1.27E-03	1.07E-03	4.62E-04	5.43E-04	1.05E-03	1.09E-03	1.04E-03	4.46E-04	6.78E-04	1.03E-03	1.26E-03
85.03424	2.86E-04	3.31E-04	2.91E-04	8.07E-05	1.30E-04	1.95E-04	2.90E-04	3.31E-04	9.98E-05	1.93E-04	1.42E-04	2.79E-04	3.31E-04	8.90E-05	2.04E-04	2.06E-04	3.11E-04	3.40E-04
85.95329	8.72E-05	8.01E-05	8.20E-05	7.53E-05	1.73E-04	1.45E-04	1.33E-04	1.42E-04	6.18E-05	1.39E-04	1.29E-04	1.22E-04	1.18E-04	5.05E-05	1.42E-04	1.35E-04	1.32E-04	1.21E-04
86.01618	1.28E-03	1.28E-03	1.31E-03	7.52E-04	4.57E-04	7.49E-04	1.22E-03	1.51E-03	6.83E-04	4.64E-04	6.30E-04	1.23E-03	1.31E-03	7.23E-04	4.36E-04	7.14E-04	1.22E-03	1.51E-03
86.25662	1.63E-05	1.62E-05	1.30E-05	7.89E-06	3.05E-06	8.86E-06	1.40E-05	1.66E-05	3.13E-06	5.22E-06	6.24E-06	9.14E-06	1.10E-05	6.59E-06	3.91E-06	3.62E-06	1.14E-05	1.34E-05
86.94451	1.15E-04	9.14E-05	1.06E-04	2.94E-05	4.83E-05	3.58E-05	4.08E-05	4.04E-05	3.44E-05	4.25E-05	1.17E-04	5.28E-05	4.36E-05	2.20E-05	4.46E-05	4.74E-05	5.45E-05	4.36E-05
86.96012	3.22E-04	3.04E-04	3.17E-04	6.53E-05	2.82E-04	3.17E-04	3.40E-04	3.46E-04	5.25E-05	3.07E-04	2.53E-04	3.37E-04	3.06E-04	5.71E-05	2.99E-04	3.26E-04	3.23E-04	3.20E-04
