Mass (u)	P1_SQ1	P1_SQ2	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ1	P2_SQ2	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ1	P3_SQ2	P3_SQ3	P3_SQ4	P3_SQ5	P1_SQ0	P2_SQ0	P3_SQ0
87.02425	1.93E-04	2.82E-04	4.59E-04	7.14E-04	8.25E-04	1.65E-04	3.06E-04	3.79E-04	6.85E-04	7.44E-04	1.85E-04	3.23E-04	4.51E-04	6.98E-04	8.20E-04	7.27E-04	7.46E-04	7.58E-04
88.03131	5.24E-05	9.14E-05	1.27E-04	2.24E-04	2.61E-04	3.92E-05	1.03E-04	9.86E-05	2.11E-04	2.44E-04	4.61E-05	1.00E-04	1.36E-04	2.08E-04	2.67E-04	2.19E-04	2.33E-04	2.38E-04
89.00424	2.80E-04	4.09E-04	7.06E-04	1.08E-03	1.29E-03	2.64E-04	4.69E-04	6.53E-04	1.08E-03	1.20E-03	2.74E-04	4.43E-04	6.59E-04	1.09E-03	1.29E-03	1.43E-03	1.45E-03	1.49E-03
89.04152	3.30E-05	1.95E-04	2.77E-04	3.98E-04	4.85E-04	3.06E-05	2.36E-04	2.28E-04	4.07E-04	4.41E-04	3.66E-05	2.45E-04	2.79E-04	4.26E-04	5.02E-04	1.03E-03	1.20E-03	1.15E-03
90.01008	4.23E-05	8.62E-05	1.13E-04	1.83E-04	2.23E-04	3.84E-05	1.05E-04	9.71E-05	1.92E-04	2.10E-04	4.17E-05	9.08E-05	1.19E-04	1.78E-04	2.27E-04	2.17E-04	2.12E-04	2.32E-04
90.97665	1.51E-05	1.36E-04	1.86E-04	2.57E-04	2.70E-04	9.39E-06	1.26E-04	1.67E-04	2.29E-04	2.10E-04	1.76E-05	1.51E-04	1.64E-04	2.30E-04	2.64E-04	2.92E-04	2.66E-04	2.82E-04
91.02053	4.88E-05	2.82E-04	4.95E-04	7.38E-04	8.38E-04	3.44E-05	3.93E-04	4.54E-04	7.19E-04	8.21E-04	3.51E-05	3.66E-04	4.92E-04	7.21E-04	8.49E-04	1.27E-03	1.41E-03	1.42E-03
92.02685	6.46E-06	1.34E-04	1.32E-04	1.70E-04	2.05E-04	7.05E-06	1.81E-04	1.22E-04	1.81E-04	1.85E-04	5.86E-06	2.04E-04	1.69E-04	1.87E-04	2.08E-04	2.27E-04	2.41E-04	2.50E-04
92.99793	7.60E-05	2.62E-04	3.72E-04	5.53E-04	6.50E-04	6.18E-05	2.54E-04	4.12E-04	5.56E-04	6.18E-04	7.32E-05	3.00E-04	3.80E-04	5.58E-04	6.45E-04	8.17E-04	8.24E-04	8.43E-04
93.03704	1.58E-05	3.35E-04	4.90E-04	6.66E-04	7.69E-04	1.49E-05	5.23E-04	4.09E-04	7.35E-04	8.04E-04	9.52E-06	5.48E-04	5.31E-04	7.13E-04	8.56E-04	1.19E-03	1.28E-03	1.24E-03
94.99308	3.37E-05	3.19E-04	4.16E-04	3.83E-04	3.79E-04	2.51E-05	4.06E-04	4.52E-04	4.34E-04	4.46E-04	2.78E-05	4.06E-04	4.24E-04	4.51E-04	4.37E-04	3.57E-04	4.10E-04	4.15E-04
94.99323	3.51E-05	3.22E-04	4.20E-04	3.86E-04	3.83E-04	2.35E-05	4.10E-04	4.48E-04	4.40E-04	4.51E-04	2.78E-05	4.08E-04	4.33E-04	4.62E-04	4.43E-04	3.62E-04	4.16E-04	4.20E-04
95.01609	7.17E-06	1.71E-04	3.33E-04	4.62E-04	5.68E-04	6.26E-06	2.39E-04	2.57E-04	4.90E-04	5.82E-04	7.32E-06	2.63E-04	3.29E-04	5.21E-04	6.03E-04	5.17E-04	5.60E-04	5.52E-04
95.99979	1.91E-03	2.26E-04	3.37E-04	5.40E-04	6.46E-04	1.92E-03	1.94E-04	2.81E-04	5.44E-04	5.62E-04	1.88E-03	1.82E-04	2.95E-04	5.16E-04	6.71E-04	3.75E-04	3.19E-04	3.55E-04
97.00888	2.71E-03	7.29E-04	1.26E-03	2.12E-03	2.59E-03	2.74E-03	7.33E-04	1.03E-03	2.09E-03	2.28E-03	2.68E-03	7.11E-04	1.14E-03	2.08E-03	2.68E-03	2.08E-03	1.95E-03	2.05E-03
98.01334	4.18E-04	1.17E-04	1.94E-04	3.29E-04	3.99E-04	4.21E-04	1.16E-04	1.40E-04	3.08E-04	3.31E-04	4.21E-04	1.11E-04	1.89E-04	3.19E-04	4.05E-04	2.89E-04	2.89E-04	3.05E-04
99.02373	1.43E-04	1.58E-04	2.69E-04	4.26E-04	5.20E-04	1.31E-04	1.73E-04	1.98E-04	4.31E-04	4.61E-04	1.65E-04	1.93E-04	2.86E-04	4.39E-04	5.40E-04	4.44E-04	4.55E-04	4.56E-04
