formula,mass,charge,description,chemical_class,alucone_relevance
C4H28Al3-,157.16426600000003,negative,Molecular anion,Al-organic_hybrid,High
[C5H26OAl2+H]+,157.168719,positive,Protonated,Al-organic_hybrid,High
C5H27OAl2+,157.168719,positive,Molecular ion,Al-organic_hybrid,High
[C5H28OAl2-H]+,157.168719,positive,Hydrogen loss,Al-organic_hybrid,High
C5H27OAl2-,157.16981700000002,negative,Molecular anion,Al-organic_hybrid,High
[C5H28OAl2-H]-,157.16981700000002,negative,Deprotonated,Al-organic_hybrid,High
[C6H25O2Al+H]+,157.17427,positive,Protonated,Al-organic_hybrid,High
C6H26O2Al+,157.17427,positive,Molecular ion,Al-organic_hybrid,High
[C6H27O2Al-H]+,157.17427,positive,Hydrogen loss,Al-organic_hybrid,High
C6H26O2Al-,157.17536800000002,negative,Molecular anion,Al-organic_hybrid,High
[C6H27O2Al-H]-,157.17536800000002,negative,Deprotonated,Al-organic_hybrid,High
[H32OAl4+H]+,157.178747,positive,Protonated,Aluminum_oxide,High
H33OAl4+,157.178747,positive,Molecular ion,Aluminum_oxide,High
[H34OAl4-H]+,157.178747,positive,Hydrogen loss,Aluminum_oxide,High
H33OAl4-,157.179845,negative,Molecular anion,Aluminum_oxide,High
[H34OAl4-H]-,157.179845,negative,Deprotonated,Aluminum_oxide,High
CH32O2Al3+,157.18429799999998,positive,Molecular ion,Al-organic_hybrid,High
[CH31O2Al3+H]+,157.184298,positive,Protonated,Al-organic_hybrid,High
[CH33O2Al3-H]+,157.184298,positive,Hydrogen loss,Al-organic_hybrid,High
CH32O2Al3-,157.185396,negative,Molecular anion,Al-organic_hybrid,High
[CH33O2Al3-H]-,157.18539600000003,negative,Deprotonated,Al-organic_hybrid,High
[C2H30O3Al2+H]+,157.18984899999998,positive,Protonated,Al-organic_hybrid,High
C2H31O3Al2+,157.189849,positive,Molecular ion,Al-organic_hybrid,High
[C2H32O3Al2-H]+,157.189849,positive,Hydrogen loss,Al-organic_hybrid,High
C2H31O3Al2-,157.19094700000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H32O3Al2-H]-,157.19094700000002,negative,Deprotonated,Al-organic_hybrid,High
[C3H29O4Al+H]+,157.19539999999998,positive,Protonated,Al-organic_hybrid,High
C3H30O4Al+,157.19539999999998,positive,Molecular ion,Al-organic_hybrid,High
[C3H31O4Al-H]+,157.1954,positive,Hydrogen loss,Al-organic_hybrid,High
C3H30O4Al-,157.196498,negative,Molecular anion,Al-organic_hybrid,High
[C3H31O4Al-H]-,157.19649800000002,negative,Deprotonated,Al-organic_hybrid,High
[C6H30Al2+H]+,157.20510399999998,positive,Protonated,Al-organic_hybrid,High
C6H31Al2+,157.205104,positive,Molecular ion,Al-organic_hybrid,High
[C6H32Al2-H]+,157.205104,positive,Hydrogen loss,Al-organic_hybrid,High
C6H31Al2-,157.20620200000002,negative,Molecular anion,Al-organic_hybrid,High
[C6H32Al2-H]-,157.20620200000002,negative,Deprotonated,Al-organic_hybrid,High
[C7H29OAl+H]+,157.21065499999997,positive,Protonated,Al-organic_hybrid,High
C7H30OAl+,157.21065499999997,positive,Molecular ion,Al-organic_hybrid,High
[C7H31OAl-H]+,157.210655,positive,Hydrogen loss,Al-organic_hybrid,High
C7H30OAl-,157.211753,negative,Molecular anion,Al-organic_hybrid,High
[C7H31OAl-H]-,157.21175300000002,negative,Deprotonated,Al-organic_hybrid,High
[CH36Al4+H]+,157.21513199999998,positive,Protonated,Al-organic_hybrid,High
CH37Al4+,157.215132,positive,Molecular ion,Al-organic_hybrid,High
[CH38Al4-H]+,157.215132,positive,Hydrogen loss,Al-organic_hybrid,High
CH37Al4-,157.21623000000002,negative,Molecular anion,Al-organic_hybrid,High
[CH38Al4-H]-,157.21623000000002,negative,Deprotonated,Al-organic_hybrid,High
[H33O6Al+H]+,157.21652999999998,positive,Protonated,Aluminum_oxide,High
H34O6Al+,157.21653,positive,Molecular ion,Aluminum_oxide,High
[H35O6Al-H]+,157.21653,positive,Hydrogen loss,Aluminum_oxide,High
H34O6Al-,157.21762800000002,negative,Molecular anion,Aluminum_oxide,High
[H35O6Al-H]-,157.21762800000002,negative,Deprotonated,Aluminum_oxide,High
[C2H35OAl3+H]+,157.220683,positive,Protonated,Al-organic_hybrid,High
C2H36OAl3+,157.220683,positive,Molecular ion,Al-organic_hybrid,High
[C2H37OAl3-H]+,157.220683,positive,Hydrogen loss,Al-organic_hybrid,High
C2H36OAl3-,157.22178100000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H37OAl3-H]-,157.22178100000002,negative,Deprotonated,Al-organic_hybrid,High
[C3H34O2Al2+H]+,157.226234,positive,Protonated,Al-organic_hybrid,High
C3H35O2Al2+,157.226234,positive,Molecular ion,Al-organic_hybrid,High
[C3H36O2Al2-H]+,157.226234,positive,Hydrogen loss,Al-organic_hybrid,High
C3H35O2Al2-,157.22733200000002,negative,Molecular anion,Al-organic_hybrid,High
[C3H36O2Al2-H]-,157.22733200000002,negative,Deprotonated,Al-organic_hybrid,High
[C4H33O3Al+H]+,157.231785,positive,Protonated,Al-organic_hybrid,High
C4H34O3Al+,157.231785,positive,Molecular ion,Al-organic_hybrid,High
[C4H35O3Al-H]+,157.231785,positive,Hydrogen loss,Al-organic_hybrid,High
C4H34O3Al-,157.23288300000002,negative,Molecular anion,Al-organic_hybrid,High
[C4H35O3Al-H]-,157.23288300000002,negative,Deprotonated,Al-organic_hybrid,High
[C8H33Al+H]+,157.24703999999997,positive,Protonated,Al-organic_hybrid,High
C8H34Al+,157.24704,positive,Molecular ion,Al-organic_hybrid,High
[C8H35Al-H]+,157.24704,positive,Hydrogen loss,Al-organic_hybrid,High
[H38O4Al2+H]+,157.247364,positive,Protonated,Aluminum_oxide,High
H39O4Al2+,157.247364,positive,Molecular ion,Aluminum_oxide,High
[H40O4Al2-H]+,157.247364,positive,Hydrogen loss,Aluminum_oxide,High
C8H34Al-,157.248138,negative,Molecular anion,Al-organic_hybrid,High
[C8H35Al-H]-,157.248138,negative,Deprotonated,Al-organic_hybrid,High
H39O4Al2-,157.24846200000002,negative,Molecular anion,Aluminum_oxide,High
[H40O4Al2-H]-,157.24846200000002,negative,Deprotonated,Aluminum_oxide,High
[CH37O5Al+H]+,157.25291499999997,positive,Protonated,Al-organic_hybrid,High
CH38O5Al+,157.252915,positive,Molecular ion,Al-organic_hybrid,High
[CH39O5Al-H]+,157.252915,positive,Hydrogen loss,Al-organic_hybrid,High
CH38O5Al-,157.25401300000001,negative,Molecular anion,Al-organic_hybrid,High
[CH39O5Al-H]-,157.25401300000001,negative,Deprotonated,Al-organic_hybrid,High
[C3H39Al3+H]+,157.257068,positive,Protonated,Al-organic_hybrid,High
C3H40Al3+,157.257068,positive,Molecular ion,Al-organic_hybrid,High
[C3H41Al3-H]+,157.257068,positive,Hydrogen loss,Al-organic_hybrid,High
C3H40Al3-,157.25816600000002,negative,Molecular anion,Al-organic_hybrid,High
[C3H41Al3-H]-,157.25816600000002,negative,Deprotonated,Al-organic_hybrid,High
[C4H38OAl2+H]+,157.262619,positive,Protonated,Al-organic_hybrid,High
C4H39OAl2+,157.262619,positive,Molecular ion,Al-organic_hybrid,High
[C4H40OAl2-H]+,157.262619,positive,Hydrogen loss,Al-organic_hybrid,High
C4H39OAl2-,157.263717,negative,Molecular anion,Al-organic_hybrid,High
[C4H40OAl2-H]-,157.263717,negative,Deprotonated,Al-organic_hybrid,High
[C5H37O2Al+H]+,157.26817,positive,Protonated,Al-organic_hybrid,High
C5H38O2Al+,157.26817,positive,Molecular ion,Al-organic_hybrid,High
[C5H39O2Al-H]+,157.26817,positive,Hydrogen loss,Al-organic_hybrid,High
C5H38O2Al-,157.269268,negative,Molecular anion,Al-organic_hybrid,High
[C5H39O2Al-H]-,157.269268,negative,Deprotonated,Al-organic_hybrid,High
[H43O2Al3+H]+,157.278198,positive,Protonated,Aluminum_oxide,High
H44O2Al3+,157.278198,positive,Molecular ion,Aluminum_oxide,High
[H45O2Al3-H]+,157.278198,positive,Hydrogen loss,Aluminum_oxide,High
H44O2Al3-,157.27929600000002,negative,Molecular anion,Aluminum_oxide,High
[H45O2Al3-H]-,157.27929600000002,negative,Deprotonated,Aluminum_oxide,High
[CH42O3Al2+H]+,157.283749,positive,Protonated,Al-organic_hybrid,High
CH43O3Al2+,157.283749,positive,Molecular ion,Al-organic_hybrid,High
[CH44O3Al2-H]+,157.283749,positive,Hydrogen loss,Al-organic_hybrid,High
CH43O3Al2-,157.284847,negative,Molecular anion,Al-organic_hybrid,High
[CH44O3Al2-H]-,157.284847,negative,Deprotonated,Al-organic_hybrid,High
[C2H41O4Al+H]+,157.2893,positive,Protonated,Al-organic_hybrid,High
C2H42O4Al+,157.2893,positive,Molecular ion,Al-organic_hybrid,High
[C2H43O4Al-H]+,157.2893,positive,Hydrogen loss,Al-organic_hybrid,High
C2H42O4Al-,157.290398,negative,Molecular anion,Al-organic_hybrid,High
[C2H43O4Al-H]-,157.290398,negative,Deprotonated,Al-organic_hybrid,High
[C5H42Al2+H]+,157.299004,positive,Protonated,Al-organic_hybrid,High
C5H43Al2+,157.299004,positive,Molecular ion,Al-organic_hybrid,High
[C5H44Al2-H]+,157.299004,positive,Hydrogen loss,Al-organic_hybrid,High
C5H43Al2-,157.300102,negative,Molecular anion,Al-organic_hybrid,High
[C5H44Al2-H]-,157.300102,negative,Deprotonated,Al-organic_hybrid,High
[C6H41OAl+H]+,157.304555,positive,Protonated,Al-organic_hybrid,High
C6H42OAl+,157.304555,positive,Molecular ion,Al-organic_hybrid,High
[C6H43OAl-H]+,157.304555,positive,Hydrogen loss,Al-organic_hybrid,High
C6H42OAl-,157.305653,negative,Molecular anion,Al-organic_hybrid,High
[C6H43OAl-H]-,157.305653,negative,Deprotonated,Al-organic_hybrid,High
[H48Al4+H]+,157.309032,positive,Protonated,Aluminum,High
H49Al4+,157.309032,positive,Molecular ion,Aluminum,High
[H50Al4-H]+,157.309032,positive,Hydrogen loss,Aluminum,High
H49Al4-,157.31013000000002,negative,Molecular anion,Aluminum,High
[H50Al4-H]-,157.31013000000002,negative,Deprotonated,Aluminum,High
[CH47OAl3+H]+,157.314583,positive,Protonated,Al-organic_hybrid,High
CH48OAl3+,157.314583,positive,Molecular ion,Al-organic_hybrid,High
[CH49OAl3-H]+,157.314583,positive,Hydrogen loss,Al-organic_hybrid,High
CH48OAl3-,157.315681,negative,Molecular anion,Al-organic_hybrid,High
[CH49OAl3-H]-,157.315681,negative,Deprotonated,Al-organic_hybrid,High
[C2H46O2Al2+H]+,157.320134,positive,Protonated,Al-organic_hybrid,High
C2H47O2Al2+,157.320134,positive,Molecular ion,Al-organic_hybrid,High
[C2H48O2Al2-H]+,157.320134,positive,Hydrogen loss,Al-organic_hybrid,High
C2H47O2Al2-,157.321232,negative,Molecular anion,Al-organic_hybrid,High
[C2H48O2Al2-H]-,157.321232,negative,Deprotonated,Al-organic_hybrid,High
[C3H45O3Al+H]+,157.325685,positive,Protonated,Al-organic_hybrid,High
C3H46O3Al+,157.325685,positive,Molecular ion,Al-organic_hybrid,High
[C3H47O3Al-H]+,157.325685,positive,Hydrogen loss,Al-organic_hybrid,High
C3H46O3Al-,157.326783,negative,Molecular anion,Al-organic_hybrid,High
[C3H47O3Al-H]-,157.326783,negative,Deprotonated,Al-organic_hybrid,High
[C7H45Al+H]+,157.34094,positive,Protonated,Al-organic_hybrid,High
C7H46Al+,157.34094,positive,Molecular ion,Al-organic_hybrid,High
[C7H47Al-H]+,157.34094,positive,Hydrogen loss,Al-organic_hybrid,High
C7H46Al-,157.342038,negative,Molecular anion,Al-organic_hybrid,High
[C7H47Al-H]-,157.342038,negative,Deprotonated,Al-organic_hybrid,High
[H49O5Al+H]+,157.346815,positive,Protonated,Aluminum_oxide,High
H50O5Al+,157.346815,positive,Molecular ion,Aluminum_oxide,High
H50O5Al-,157.347913,negative,Molecular anion,Aluminum_oxide,High
[C3H50OAl2+H]+,157.356519,positive,Protonated,Al-organic_hybrid,High
[C4H49O2Al+H]+,157.36207,positive,Protonated,Al-organic_hybrid,High
C4H50O2Al+,157.36207,positive,Molecular ion,Al-organic_hybrid,High
C4H50O2Al-,157.363168,negative,Molecular anion,Al-organic_hybrid,High
[HO3Al4+H]+,157.92600199999998,positive,Protonated,Aluminum_oxide,High
H2O3Al4+,157.926002,positive,Molecular ion,Aluminum_oxide,High
[H3O3Al4-H]+,157.926002,positive,Hydrogen loss,Aluminum_oxide,High
H2O3Al4-,157.92710000000002,negative,Molecular anion,Aluminum_oxide,High
[H3O3Al4-H]-,157.92710000000002,negative,Deprotonated,Aluminum_oxide,High
[CO4Al3+H]+,157.931553,positive,Protonated,Al-organic_hybrid,High
CHO4Al3+,157.931553,positive,Molecular ion,Al-organic_hybrid,High
[CH2O4Al3-H]+,157.931553,positive,Hydrogen loss,Al-organic_hybrid,High
CHO4Al3-,157.93265100000002,negative,Molecular anion,Al-organic_hybrid,High
[CH2O4Al3-H]-,157.93265100000002,negative,Deprotonated,Al-organic_hybrid,High
C2O5Al2+,157.937104,positive,Molecular ion,Al-organic_hybrid,High
[C2HO5Al2-H]+,157.937104,positive,Hydrogen loss,Al-organic_hybrid,High
C2O5Al2-,157.93820200000002,negative,Molecular anion,Al-organic_hybrid,High
[C2HO5Al2-H]-,157.93820200000002,negative,Deprotonated,Al-organic_hybrid,High
[C4HAl4+H]+,157.941257,positive,Protonated,Al-organic_hybrid,High
C4H2Al4+,157.941257,positive,Molecular ion,Al-organic_hybrid,High
[C4H3Al4-H]+,157.941257,positive,Hydrogen loss,Al-organic_hybrid,High
C4H2Al4-,157.94235500000002,negative,Molecular anion,Al-organic_hybrid,High
[C4H3Al4-H]-,157.94235500000002,negative,Deprotonated,Al-organic_hybrid,High
[C5OAl3+H]+,157.946808,positive,Protonated,Al-organic_hybrid,High
C5HOAl3+,157.946808,positive,Molecular ion,Al-organic_hybrid,High
[C5H2OAl3-H]+,157.946808,positive,Hydrogen loss,Al-organic_hybrid,High
C5HOAl3-,157.94790600000002,negative,Molecular anion,Al-organic_hybrid,High
[C5H2OAl3-H]-,157.94790600000002,negative,Deprotonated,Al-organic_hybrid,High
C6O2Al2+,157.952359,positive,Molecular ion,Al-organic_hybrid,High
[C6HO2Al2-H]+,157.952359,positive,Hydrogen loss,Al-organic_hybrid,High
C6O2Al2-,157.95345700000001,negative,Molecular anion,Al-organic_hybrid,High
[C6HO2Al2-H]-,157.95345700000001,negative,Deprotonated,Al-organic_hybrid,High
[H6OAl5+H]+,157.956836,positive,Protonated,Aluminum_oxide,High
H7OAl5+,157.956836,positive,Molecular ion,Aluminum_oxide,High
[H8OAl5-H]+,157.956836,positive,Hydrogen loss,Aluminum_oxide,High
H7OAl5-,157.95793400000002,negative,Molecular anion,Aluminum_oxide,High
[H8OAl5-H]-,157.95793400000002,negative,Deprotonated,Aluminum_oxide,High
[CH5O2Al4+H]+,157.96238699999998,positive,Protonated,Al-organic_hybrid,High
CH6O2Al4+,157.962387,positive,Molecular ion,Al-organic_hybrid,High
[CH7O2Al4-H]+,157.962387,positive,Hydrogen loss,Al-organic_hybrid,High
CH6O2Al4-,157.96348500000002,negative,Molecular anion,Al-organic_hybrid,High
[CH7O2Al4-H]-,157.96348500000002,negative,Deprotonated,Al-organic_hybrid,High
[H2O8Al+H]+,157.963785,positive,Protonated,Aluminum_oxide,High
H3O8Al+,157.963785,positive,Molecular ion,Aluminum_oxide,High
[H4O8Al-H]+,157.963785,positive,Hydrogen loss,Aluminum_oxide,High
H3O8Al-,157.96488300000001,negative,Molecular anion,Aluminum_oxide,High
[H4O8Al-H]-,157.96488300000001,negative,Deprotonated,Aluminum_oxide,High
[C2H4O3Al3+H]+,157.967938,positive,Protonated,Al-organic_hybrid,High
C2H5O3Al3+,157.967938,positive,Molecular ion,Al-organic_hybrid,High
[C2H6O3Al3-H]+,157.967938,positive,Hydrogen loss,Al-organic_hybrid,High
C2H5O3Al3-,157.96903600000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H6O3Al3-H]-,157.96903600000002,negative,Deprotonated,Al-organic_hybrid,High
[C3H3O4Al2+H]+,157.973489,positive,Protonated,Al-organic_hybrid,High
C3H4O4Al2+,157.973489,positive,Molecular ion,Al-organic_hybrid,High
[C3H5O4Al2-H]+,157.973489,positive,Hydrogen loss,Al-organic_hybrid,High
C3H4O4Al2-,157.974587,negative,Molecular anion,Al-organic_hybrid,High
[C3H5O4Al2-H]-,157.974587,negative,Deprotonated,Al-organic_hybrid,High
[C4H2O5Al+H]+,157.97904,positive,Protonated,Al-organic_hybrid,High
C4H3O5Al+,157.97904,positive,Molecular ion,Al-organic_hybrid,High
[C4H4O5Al-H]+,157.97904,positive,Hydrogen loss,Al-organic_hybrid,High
C4H3O5Al-,157.980138,negative,Molecular anion,Al-organic_hybrid,High
[C4H4O5Al-H]-,157.980138,negative,Deprotonated,Al-organic_hybrid,High
[C6H4Al3+H]+,157.983193,positive,Protonated,Al-organic_hybrid,High
C6H5Al3+,157.983193,positive,Molecular ion,Al-organic_hybrid,High
[C6H6Al3-H]+,157.983193,positive,Hydrogen loss,Al-organic_hybrid,High
C6H5Al3-,157.984291,negative,Molecular anion,Al-organic_hybrid,High
[C6H6Al3-H]-,157.984291,negative,Deprotonated,Al-organic_hybrid,High
[C7H3OAl2+H]+,157.988744,positive,Protonated,Al-organic_hybrid,High
C7H4OAl2+,157.988744,positive,Molecular ion,Al-organic_hybrid,High
[C7H5OAl2-H]+,157.988744,positive,Hydrogen loss,Al-organic_hybrid,High
C7H4OAl2-,157.989842,negative,Molecular anion,Al-organic_hybrid,High
[C7H5OAl2-H]-,157.989842,negative,Deprotonated,Al-organic_hybrid,High
[CH10Al5+H]+,157.993221,positive,Protonated,Al-organic_hybrid,High
CH11Al5+,157.993221,positive,Molecular ion,Al-organic_hybrid,High
[CH12Al5-H]+,157.993221,positive,Hydrogen loss,Al-organic_hybrid,High
[C8H2O2Al+H]+,157.994295,positive,Protonated,Al-organic_hybrid,High
C8H3O2Al+,157.994295,positive,Molecular ion,Al-organic_hybrid,High
[C8H4O2Al-H]+,157.994295,positive,Hydrogen loss,Al-organic_hybrid,High
CH11Al5-,157.99431900000002,negative,Molecular anion,Al-organic_hybrid,High
[CH12Al5-H]-,157.99431900000002,negative,Deprotonated,Al-organic_hybrid,High
[H7O6Al2+H]+,157.994619,positive,Protonated,Aluminum_oxide,High
H8O6Al2+,157.994619,positive,Molecular ion,Aluminum_oxide,High
[H9O6Al2-H]+,157.994619,positive,Hydrogen loss,Aluminum_oxide,High
C8H3O2Al-,157.995393,negative,Molecular anion,Al-organic_hybrid,High
[C8H4O2Al-H]-,157.995393,negative,Deprotonated,Al-organic_hybrid,High
H8O6Al2-,157.995717,negative,Molecular anion,Aluminum_oxide,High
[H9O6Al2-H]-,157.995717,negative,Deprotonated,Aluminum_oxide,High
[C2H9OAl4+H]+,157.998772,positive,Protonated,Al-organic_hybrid,High
C2H10OAl4+,157.998772,positive,Molecular ion,Al-organic_hybrid,High
[C2H11OAl4-H]+,157.998772,positive,Hydrogen loss,Al-organic_hybrid,High
C2H10OAl4-,157.99987000000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H11OAl4-H]-,157.99987000000002,negative,Deprotonated,Al-organic_hybrid,High
[CH6O7Al+H]+,158.00017,positive,Protonated,Al-organic_hybrid,High
CH7O7Al+,158.00017,positive,Molecular ion,Al-organic_hybrid,High
[CH8O7Al-H]+,158.00017,positive,Hydrogen loss,Al-organic_hybrid,High
CH7O7Al-,158.001268,negative,Molecular anion,Al-organic_hybrid,High
[CH8O7Al-H]-,158.001268,negative,Deprotonated,Al-organic_hybrid,High
[C3H8O2Al3+H]+,158.004323,positive,Protonated,Al-organic_hybrid,High
C3H9O2Al3+,158.004323,positive,Molecular ion,Al-organic_hybrid,High
[C3H10O2Al3-H]+,158.004323,positive,Hydrogen loss,Al-organic_hybrid,High
C3H9O2Al3-,158.005421,negative,Molecular anion,Al-organic_hybrid,High
[C3H10O2Al3-H]-,158.005421,negative,Deprotonated,Al-organic_hybrid,High
[C4H7O3Al2+H]+,158.009874,positive,Protonated,Al-organic_hybrid,High
C4H8O3Al2+,158.009874,positive,Molecular ion,Al-organic_hybrid,High
[C4H9O3Al2-H]+,158.009874,positive,Hydrogen loss,Al-organic_hybrid,High
C4H8O3Al2-,158.010972,negative,Molecular anion,Al-organic_hybrid,High
[C4H9O3Al2-H]-,158.010972,negative,Deprotonated,Al-organic_hybrid,High
[C5H6O4Al+H]+,158.015425,positive,Protonated,Al-organic_hybrid,High
C5H7O4Al+,158.015425,positive,Molecular ion,Al-organic_hybrid,High
[C5H8O4Al-H]+,158.015425,positive,Hydrogen loss,Al-organic_hybrid,High
C5H7O4Al-,158.016523,negative,Molecular anion,Al-organic_hybrid,High
[C5H8O4Al-H]-,158.016523,negative,Deprotonated,Al-organic_hybrid,High
[C8H7Al2+H]+,158.025129,positive,Protonated,Al-organic_hybrid,High
C8H8Al2+,158.025129,positive,Molecular ion,Al-organic_hybrid,High
[C8H9Al2-H]+,158.025129,positive,Hydrogen loss,Al-organic_hybrid,High
[H12O4Al3+H]+,158.025453,positive,Protonated,Aluminum_oxide,High
H13O4Al3+,158.025453,positive,Molecular ion,Aluminum_oxide,High
[H14O4Al3-H]+,158.02545300000003,positive,Hydrogen loss,Aluminum_oxide,High
C8H8Al2-,158.026227,negative,Molecular anion,Al-organic_hybrid,High
[C8H9Al2-H]-,158.026227,negative,Deprotonated,Al-organic_hybrid,High
H13O4Al3-,158.026551,negative,Molecular anion,Aluminum_oxide,High
[H14O4Al3-H]-,158.02655100000004,negative,Deprotonated,Aluminum_oxide,High
[C9H6OAl+H]+,158.03068,positive,Protonated,Al-organic_hybrid,High
C9H7OAl+,158.03068,positive,Molecular ion,Al-organic_hybrid,High
[C9H8OAl-H]+,158.03068,positive,Hydrogen loss,Al-organic_hybrid,High
[CH11O5Al2+H]+,158.031004,positive,Protonated,Al-organic_hybrid,High
CH12O5Al2+,158.031004,positive,Molecular ion,Al-organic_hybrid,High
[CH13O5Al2-H]+,158.031004,positive,Hydrogen loss,Al-organic_hybrid,High
C9H7OAl-,158.031778,negative,Molecular anion,Al-organic_hybrid,High
[C9H8OAl-H]-,158.031778,negative,Deprotonated,Al-organic_hybrid,High
CH12O5Al2-,158.032102,negative,Molecular anion,Al-organic_hybrid,High
[CH13O5Al2-H]-,158.032102,negative,Deprotonated,Al-organic_hybrid,High
[C3H13Al4+H]+,158.035157,positive,Protonated,Al-organic_hybrid,High
C3H14Al4+,158.035157,positive,Molecular ion,Al-organic_hybrid,High
[C3H15Al4-H]+,158.035157,positive,Hydrogen loss,Al-organic_hybrid,High
C3H14Al4-,158.036255,negative,Molecular anion,Al-organic_hybrid,High
[C3H15Al4-H]-,158.036255,negative,Deprotonated,Al-organic_hybrid,High
