formula,mass,charge,description,chemical_class,alucone_relevance
[C4H35O2Al+H]+,143.25252,positive,Protonated,Al-organic_hybrid,High
C4H36O2Al+,143.25252,positive,Molecular ion,Al-organic_hybrid,High
[C4H37O2Al-H]+,143.25252,positive,Hydrogen loss,Al-organic_hybrid,High
C4H36O2Al-,143.25361800000002,negative,Molecular anion,Al-organic_hybrid,High
[C4H37O2Al-H]-,143.25361800000002,negative,Deprotonated,Al-organic_hybrid,High
[H40O3Al2+H]+,143.268099,positive,Protonated,Aluminum_oxide,High
H41O3Al2+,143.268099,positive,Molecular ion,Aluminum_oxide,High
[H42O3Al2-H]+,143.268099,positive,Hydrogen loss,Aluminum_oxide,High
H41O3Al2-,143.26919700000002,negative,Molecular anion,Aluminum_oxide,High
[H42O3Al2-H]-,143.26919700000002,negative,Deprotonated,Aluminum_oxide,High
[CH39O4Al+H]+,143.27365,positive,Protonated,Al-organic_hybrid,High
CH40O4Al+,143.27365,positive,Molecular ion,Al-organic_hybrid,High
[CH41O4Al-H]+,143.27365,positive,Hydrogen loss,Al-organic_hybrid,High
CH40O4Al-,143.27474800000002,negative,Molecular anion,Al-organic_hybrid,High
[CH41O4Al-H]-,143.27474800000002,negative,Deprotonated,Al-organic_hybrid,High
[C4H40Al2+H]+,143.283354,positive,Protonated,Al-organic_hybrid,High
C4H41Al2+,143.283354,positive,Molecular ion,Al-organic_hybrid,High
[C4H42Al2-H]+,143.283354,positive,Hydrogen loss,Al-organic_hybrid,High
C4H41Al2-,143.28445200000002,negative,Molecular anion,Al-organic_hybrid,High
[C4H42Al2-H]-,143.28445200000002,negative,Deprotonated,Al-organic_hybrid,High
[C5H39OAl+H]+,143.288905,positive,Protonated,Al-organic_hybrid,High
C5H40OAl+,143.288905,positive,Molecular ion,Al-organic_hybrid,High
